Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdvancedColumnBar,Firefox 63.0,,2018-11-22 09:39:46,2018-11-22 09:42:40,2m - 53.825s,PASSED
,,,,,,
Test Cases/Login_Power PI,Firefox 63.0,Login to Power PI with respective username and Password,2018-11-22 09:39:47,2018-11-22 09:40:26,38.748s,PASSED
openBrowser,Firefox 63.0,,2018-11-22 09:39:49,2018-11-22 09:40:06,17.636s,PASSED
maximizeWindow,Firefox 63.0,,2018-11-22 09:40:06,2018-11-22 09:40:10,3.554s,PASSED
deleteAllCookies,Firefox 63.0,,2018-11-22 09:40:10,2018-11-22 09:40:10,0.034s,PASSED
navigateToUrl,Firefox 63.0,,2018-11-22 09:40:10,2018-11-22 09:40:13,2.736s,PASSED
waitForPageLoad,Firefox 63.0,,2018-11-22 09:40:13,2018-11-22 09:40:13,0.145s,PASSED
waitForElementVisible,Firefox 63.0,,2018-11-22 09:40:13,2018-11-22 09:40:13,0.404s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:13,2018-11-22 09:40:16,2.536s,PASSED
setText,Firefox 63.0,,2018-11-22 09:40:16,2018-11-22 09:40:16,0.274s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:16,2018-11-22 09:40:16,0.330s,PASSED
delay,Firefox 63.0,,2018-11-22 09:40:16,2018-11-22 09:40:18,2.041s,PASSED
setEncryptedText,Firefox 63.0,,2018-11-22 09:40:18,2018-11-22 09:40:19,0.231s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:19,2018-11-22 09:40:20,1.382s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:20,2018-11-22 09:40:26,5.913s,PASSED
,,,,,,
Test Cases/Edit Mode_Power PI,Firefox 63.0,,2018-11-22 09:40:26,2018-11-22 09:40:40,14.215s,PASSED
waitForElementPresent,Firefox 63.0,,2018-11-22 09:40:26,2018-11-22 09:40:29,2.859s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:29,2018-11-22 09:40:31,1.526s,PASSED
waitForPageLoad,Firefox 63.0,,2018-11-22 09:40:31,2018-11-22 09:40:31,0.234s,PASSED
delay,Firefox 63.0,,2018-11-22 09:40:31,2018-11-22 09:40:33,2.003s,PASSED
mouseOver,Firefox 63.0,,2018-11-22 09:40:33,2018-11-22 09:40:36,2.632s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:36,2018-11-22 09:40:37,1.144s,PASSED
waitForElementPresent,Firefox 63.0,,2018-11-22 09:40:37,2018-11-22 09:40:37,0.035s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:37,2018-11-22 09:40:37,0.512s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:37,2018-11-22 09:40:39,1.453s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:39,2018-11-22 09:40:40,1.345s,PASSED
,,,,,,
Test Cases/Sections/Title,Firefox 63.0,,2018-11-22 09:40:40,2018-11-22 09:40:48,7.777s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:40,2018-11-22 09:40:41,0.761s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:40:41,2018-11-22 09:40:42,0.412s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:40:42,2018-11-22 09:40:42,0.793s,PASSED
waitForPageLoad,Firefox 63.0,,2018-11-22 09:40:42,2018-11-22 09:40:42,0.059s,PASSED
setText,Firefox 63.0,,2018-11-22 09:40:42,2018-11-22 09:40:43,0.557s,PASSED
delay,Firefox 63.0,,2018-11-22 09:40:43,2018-11-22 09:40:45,2.037s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:40:45,2018-11-22 09:40:46,1.305s,PASSED
click,Firefox 63.0,,2018-11-22 09:40:46,2018-11-22 09:40:47,0.658s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:40:47,2018-11-22 09:40:48,0.786s,PASSED
,,,,,,
Test Cases/Sections/X Axis,Firefox 63.0,,2018-11-22 09:40:48,2018-11-22 09:41:01,12.751s,PASSED
com.powerbi.components.ChartSelect.EnableSetting,Firefox 63.0,,2018-11-22 09:40:48,2018-11-22 09:40:49,0.817s,PASSED
delay,Firefox 63.0,,2018-11-22 09:40:49,2018-11-22 09:40:51,2.002s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:40:51,2018-11-22 09:40:52,0.585s,PASSED
delay,Firefox 63.0,,2018-11-22 09:40:52,2018-11-22 09:40:54,2.001s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:40:54,2018-11-22 09:40:54,0.206s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:40:54,2018-11-22 09:40:55,1.350s,PASSED
